,economy,time,EG.ELC.ACCS.ZS
979,BFA,YR1994,6.12501001358032
980,BFA,YR1995,6.62533283233643
981,BFA,YR1996,7.1229362487793
982,BFA,YR1997,7.61713981628418
983,BFA,YR1998,8.10726451873779
984,BFA,YR1999,6.9
985,BFA,YR2000,9.10153102874756
986,BFA,YR2001,9.51381778717041
987,BFA,YR2002,9.91755771636963
988,BFA,YR2003,11.4
989,BFA,YR2004,10.7274255752563
990,BFA,YR2005,11.1475677490234
991,BFA,YR2006,11.5869636535644
992,BFA,YR2007,12.0471992492676
993,BFA,YR2008,12.5246601104736
994,BFA,YR2009,12.63
